,Company,StockSymbol,Fri Sep 23 10:42:00 2016,Fri Sep 23 10:42:13 2016,Fri Sep 23 10:42:28 2016
173,Titan Company Ltd,500114,412.05,411.95,411.95
174,Torrent Power Ltd,532779,186.35,186.35,186.35
175,TTK Prestige Limited,517506,"4,832.80","4,832.80","4,832.80"
176,TVS Motor Company Limited,532343,349.85,349.85,350.40
177,UCO Bank,532505,38.50,38.50,38.50
178,Union Bank of India,532477,144.80,144.80,144.55
179,United Breweries Limited,532478,870.05,872.00,872.10
180,Videocon Industries Ltd.,511389,104.00,104.00,104.00
181,Voltas Limited,500575,383.75,383.35,383.35
182,Whirlpool Of India Ltd.,500238,993.00,993.00,993.00
183,Wockhardt Limited,532300,893.95,891.60,891.75
184,Zee Entertainment Enterprises Limited,505537,527.65,527.65,527.65
185,Zee Media Corporation Ltd,ZEEMEDIA,28.85,28.85,28.90
186,Zenith Birla (India) Limited,531845,0.73,0.73,0.73
187,Zenith Computers Ltd.,517164,1.73,1.73,1.73
188,Bharti Airtel Limited,532454,328.55,328.55,328.75
189,Zee Learn Ltd,ZEELEARN,37.35,37.35,37.35
190,Multi Commodity Exchange of India Ltd.,MCX,"1,057.50","1,057.15","1,057.15"
191,Eclerx Services Ltd,532927,"1,519.55","1,519.55","1,519.55"
192,Lanco Infratech Ltd,532778,4.48,4.48,4.48
193,SQS India BFSI Ltd,533121,881.00,881.00,881.00
194,Dhampur Sugar Mills Ltd,500119,121.30,121.30,121.30
195,Canara Bank Ltd,532483,304.55,304.55,304.35
196,PSL Limited,526801,6.39,6.39,6.39
197,GOLDMAN SACHS GOLD GOLD EXCH TRAD-GOLD BEES,GOLDBEES,"2,842.55","2,842.00","2,842.00"
198,MMTC Ltd,513377,46.70,46.70,46.80
199,Reliance Industries Limited,500325,"1,095.30","1,095.05","1,095.85"
200,Sonata Software Limited (Parent),532221,158.00,158.00,158.00
201,Bharti Infratel Ltd,534816,379.70,379.70,379.70
202,Tata Communications Limited,500483,536.40,536.40,536.40
203,L&T Finance Holdings Ltd,533519,93.45,93.45,93.35
204,Mahanagar Telephone Nigam Ltd,500108,20.55,20.55,20.50
205,Oil & Natural Gas Corporation Limited,500312,260.45,260.45,260.45
206,TV18 Broadcast Ltd,532800,45.50,45.50,45.50
207,JK Tyre & Industries Ltd.,530007,144.30,144.15,144.15
208,Mphasis Ltd.,526299,536.05,536.05,536.05
209,Bajaj Corp Limited,533229,397.00,397.00,397.00
210,IMP Powers Ltd,517571,85.00,85.00,85.00
211,Firstsource Solutions Ltd,532809,43.20,43.20,43.20
212,Reliance Power Limited,532939,52.25,52.25,52.25
213,NCC Ltd,500294,87.30,87.30,87.30
214,Network 18 Media & Investments Ltd,532798,44.95,44.95,44.95
215,Piramal Enterprises Ltd,500302,"1,905.95","1,905.90","1,905.45"
